scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,AFG,Afghanistan,2023,10,14,<NA>,2588084,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,AGO,Angola,2023,10,14,<NA>,2354397,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,ALB,Albania,2022,13,13,13,16022,0.1522281862439146260524,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,AZE,Azerbaijan,2025,10,14,<NA>,428093.5,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,BDI,Burundi,2025,10,14,<NA>,978370,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,BEN,Benin,2024,10,14,<NA>,839166.5,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,BGD,Bangladesh,2026,10,14,<NA>,7124373,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,BIH,Bosnia and Herzegovina,2024,10,14,<NA>,81715,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,BLR,Belarus,2027,10,14,<NA>,286484,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,BOL,"Bolivia, Plurinational State of",2017,11,12,determined by Gavi,355357,0.6368215625413319314063,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,CAF,Central African Republic,2023,10,14,<NA>,407400.5,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,CHN,China,2027,10,14,<NA>,41964725.5,0.9000000000000000222045,female,1
hpv-campaign-routine-default,"HPV:HPV,campaign,with:default",HPV,total,campaign,CIV,Cote d'Ivoire,2022,11,11,determined by Gavi,731330,0.3430653740445490096356,female,1
