scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,BGD,Bangladesh,2020,1,100,default age groups,164456840,0.0072237798075166712031,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,BGD,Bangladesh,2025,1,100,default age groups,173503172.5,0.3726075837704510562709,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,BGD,Bangladesh,2028,1,100,default age groups,178501298,0.3726075837704510562709,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,BGD,Bangladesh,2031,1,100,default age groups,183114410,0.3726075837704510562709,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,BGD,Bangladesh,2034,1,100,default age groups,187254005.5,0.3726075837704510007597,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,BGD,Bangladesh,2037,1,100,default age groups,190901043.5,0.3726075837704511117821,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,BGD,Bangladesh,2040,1,100,default age groups,194037128.5,0.3726075837704511117821,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CAF,Central African Republic,2025,1,100,default age groups,5855408,0.0131597687827062666266,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CAF,Central African Republic,2028,1,100,default age groups,6424109.5,0.0131597687827062666266,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CAF,Central African Republic,2031,1,100,default age groups,7043251,0.0131597687827062648919,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CAF,Central African Republic,2034,1,100,default age groups,7691558,0.0131597687827062666266,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CAF,Central African Republic,2037,1,100,default age groups,8356456.5,0.0131597687827062666266,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CAF,Central African Republic,2040,1,100,default age groups,9023125.5,0.0131597687827062666266,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CIV,Cote d'Ivoire,2025,1,100,default age groups,29402681.5,0.0496529653028730047493,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CIV,Cote d'Ivoire,2028,1,100,default age groups,31642916.5,0.0496529653028730047493,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CIV,Cote d'Ivoire,2031,1,100,default age groups,33981922,0.0496529653028730047493,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CIV,Cote d'Ivoire,2034,1,100,default age groups,36411442.5,0.0496529653028729978104,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CIV,Cote d'Ivoire,2037,1,100,default age groups,38905670.5,0.0496529653028730047493,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CIV,Cote d'Ivoire,2040,1,100,default age groups,41442825.5,0.0496529653028730047493,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CMR,Cameroon,2025,1,100,default age groups,29202773,0.3329104065594854500176,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CMR,Cameroon,2028,1,100,default age groups,31483750,0.3329104065594854500176,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CMR,Cameroon,2031,1,100,default age groups,33835608.5,0.3329104065594855055288,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CMR,Cameroon,2034,1,100,default age groups,36250613,0.3329104065594855055288,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CMR,Cameroon,2037,1,100,default age groups,38738000,0.3329104065594855055288,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,CMR,Cameroon,2040,1,100,default age groups,41290607,0.3329104065594855055288,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2014,1,100,default age groups,72901346,0.0000184907422696969139,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2021,1,100,default age groups,92080802.5,0.0351142899737434399654,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2022,1,100,default age groups,95094161,0.0198243086660178854941,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2025,1,100,default age groups,104861468,0.29851713964600240514,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2028,1,100,default age groups,115411644,0.2985171396460025161623,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2031,1,100,default age groups,126714270,0.2985171396460024606512,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2034,1,100,default age groups,138703014.5,0.2985171396460025161623,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2037,1,100,default age groups,151339862.5,0.2985171396460024606512,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COD,"Congo, the Democratic Republic of the",2040,1,100,default age groups,164457897.5,0.2985171396460024606512,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2025,1,100,default age groups,6203951.5,0.1835913315116632915647,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2028,1,100,default age groups,6625331,0.1835913315116632915647,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2031,1,100,default age groups,7068634,0.1835913315116632638091,both,1
cholera-ocv1-ocv2-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,COG,Congo,2034,1,100,default age groups,7531029.5,0.1835913315116632638091,both,1
