scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,BGD,Bangladesh,2023,1,14,<NA>,40423113,0.9000000000000000222,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,BTN,Bhutan,2024,1,14,<NA>,175576,0.9000000000000000222,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,IND,India,2006,1,14,default age and gender,351160690,0.0264836021366742988,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,IND,India,2007,1,14,default age and gender,352607074,0.05218273074124429867,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,IND,India,2008,1,14,default age and gender,353796866,0.04776752318659600177,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,IND,India,2009,1,14,default age and gender,354556374,0.05104970979875819714,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,IND,India,2010,1,14,default age and gender,354759217,0.02601764678040769871,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,IND,India,2017,1,15,1 to 15 yrs,370067092,0.04373690433409300332,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,KHM,Cambodia,2013,1,14,default age and gender,4466662,0.06930214106193839652,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,NPL,Nepal,2005,1,14,default age and gender,9491463,0.06417840958764729764,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,NPL,Nepal,2006,1,14,default age and gender,9461613,0.26810439192556301258,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,NPL,Nepal,2008,1,14,default age and gender,9398627,0.20139143728121100541,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,PAK,Pakistan,2026,1,14,<NA>,76281647,0.9000000000000000222,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,PHL,Philippines,2026,1,14,<NA>,30422983,0.9000000000000000222,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,PNG,Papua New Guinea,2027,1,14,<NA>,3126107,0.9000000000000000222,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,PRK,"Korea, Democratic People's Republic of",2023,1,14,<NA>,4786569,0.9000000000000000222,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,TLS,Timor-Leste,2025,1,14,<NA>,478229,0.9000000000000000222,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,VNM,Viet Nam,2017,6,15,6-15 years,13877628,0.01426086648237000036,both,<NA>
je-campaign-default,"JE : JE,campaign,with : default",JE,total,campaign,VNM,Viet Nam,2018,6,15,6-15 year,14075762,0.01239535024817840086,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1980,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1981,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1982,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1983,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1984,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1985,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1986,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1987,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1988,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1989,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1990,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1991,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1992,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1993,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1994,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1995,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1996,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1997,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1998,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,1999,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2000,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2001,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2002,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2003,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2004,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2005,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2006,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2007,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2008,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2009,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2010,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2011,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2012,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2013,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2014,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2015,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2016,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2017,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2018,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2019,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2020,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2021,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2022,0,0,<NA>,<NA>,0,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2023,0,0,<NA>,<NA>,0.96598524294442089655,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2024,0,0,<NA>,<NA>,0.95939808671217663427,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2025,0,0,<NA>,<NA>,0.95153528922936869705,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2026,0,0,<NA>,<NA>,0.94214981512249662554,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2027,0,0,<NA>,<NA>,0.93094678917615003577,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2028,0,0,<NA>,<NA>,0.9175742318684035892,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2029,0,0,<NA>,<NA>,0.90161200078856962303,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2030,0,0,<NA>,<NA>,0.88255859049595308807,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2031,0,0,<NA>,<NA>,0.89255859049595309695,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2032,0,0,<NA>,<NA>,0.90255859049595310584,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2033,0,0,<NA>,<NA>,0.91255859049595311472,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2034,0,0,<NA>,<NA>,0.9225585904959531236,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2035,0,0,<NA>,<NA>,0.93255859049595313248,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2036,0,0,<NA>,<NA>,0.94255859049595303034,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2037,0,0,<NA>,<NA>,0.95255859049595303922,both,<NA>
je-campaign-default,"JE : JE,routine,with : default",JE,total,routine,BGD,Bangladesh,2038,0,0,<NA>,<NA>,0.96255859049595304811,both,<NA>
