scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,BDI,Burundi,2018,1,29,1-29,7927655.5,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,BDI,Burundi,2026,1,8,<NA>,3312320,0.1799999999999999933387,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,BEN,Benin,2012,1,29,1-29,6728242.5,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,BEN,Benin,2022,1,9,1-9,3600979.5,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,BEN,Benin,2023,1,1,<NA>,450389.5,0.1799999999999999933387,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,BFA,Burkina Faso,2010,1,29,1-29,11166474,0.9871059288724444158447,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,BFA,Burkina Faso,2016,1,5,1-5,3299812,0.9999999999990000221217,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,CAF,Central African Republic,2017,1,29,1-29,3620267,0.1000000000000000055511,both,0.1000000000000000056
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,CIV,Cote d'Ivoire,2014,1,29,1-29,15559869,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,CIV,Cote d'Ivoire,2018,2,3,2-3,1572933.5,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,CMR,Cameroon,2011,1,29,1-29,14007222,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,CMR,Cameroon,2012,1,29,1-29,14379802.5,0.1450511576914912392766,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,CMR,Cameroon,2023,1,11,<NA>,9010364,0.1799999999999999933387,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,COD,"Congo, the Democratic Republic of the",2016,1,29,1-29,55949972,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,COD,"Congo, the Democratic Republic of the",2023,1,7,<NA>,24443791,0.1799999999999999933387,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,ERI,Eritrea,2019,1,29,1-29,2328725,0.1000000000000000055511,both,0.1000000000000000056
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,ETH,Ethiopia,2013,1,29,1-29,66824375.5,0.2804004356164914724125,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,ETH,Ethiopia,2014,1,29,1-29,68481367,0.3823640085922934139795,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,ETH,Ethiopia,2015,1,29,1-29,70089679.5,0.2247337113304962441518,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,ETH,Ethiopia,2023,1,8,<NA>,27873046.5,0.9000000000000000222045,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GHA,Ghana,2012,1,29,1-29,17299384.5,0.1755195972434741846779,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GHA,Ghana,2016,1,4,1-4,3389599,0.1966863926971892662099,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GIN,Guinea,2015,1,29,1-29,7984064.5,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GIN,Guinea,2022,1,7,1-7,2855108.5,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GMB,Gambia,2013,1,29,1-29,1461550,0.7978815435667613309434,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GMB,Gambia,2019,1,6,1-6,479330.5,0.8083170588977751647164,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GNB,Guinea-Bissau,2016,1,29,1-29,1226823,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,GNB,Guinea-Bissau,2024,1,8,<NA>,468306,0.1799999999999999933387,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,KEN,Kenya,2019,1,29,1-29,33324359.5,0.0766896456029409895327,both,0.1000000000000000056
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,KEN,Kenya,2025,1,6,<NA>,8465730.5,0.0899999999999999966693,both,0.1000000000000000056
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,MLI,Mali,2010,1,29,1-29,10885353,0.4487286723728665660538,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,MLI,Mali,2011,1,29,1-29,11234796,0.5265590590162919637507,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,MLI,Mali,2017,1,6,1-6,4149750,0.7939562624254473677254,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,MRT,Mauritania,2014,1,29,1-29,2577005.5,0.2000000000000000111022,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,MRT,Mauritania,2024,1,10,<NA>,1365425.5,0.1799999999999999933387,both,0.2000000000000000111
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NER,Niger,2010,1,29,1-29,11588248.5,0.2720460300795241037619,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NER,Niger,2011,1,29,1-29,12048527.5,0.6162962237501636852954,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NER,Niger,2019,1,8,1-8,6667598,0.8670749952231673329806,both,1
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NGA,Nigeria,2011,1,29,1-29,110421577,0.14210854822332413816,both,0.6999999999999999556
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NGA,Nigeria,2012,1,29,1-29,113464534.5,0.1166413986389729512405,both,0.6999999999999999556
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NGA,Nigeria,2013,1,29,1-29,116546548.5,0.1897591446047842411726,both,0.6999999999999999556
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NGA,Nigeria,2014,1,29,1-29,119630108,0.2325550437520293722837,both,0.6999999999999999556
mena-campaign-routine-default,"MenA:MenA,campaign,with:default",MenA,total,campaign,NGA,Nigeria,2019,1,7,combine two campaigns 1-5 and 1-7,44706002,0.5033606241506454193058,both,0.6999999999999999556
