"disease","deaths_formatted","dalys_formatted"
"COVID-19","0.15 (0.14, 0.17)","4.83 (4.36, 5.35)"
"Cholera","0.24 (0.05, 1.05)","7.11 (1.68, 19.48)"
"HPV","15.45 (13.15, 20.73)","716.00 (572.04, 870.69)"
"HepB","4.51 (3.99, 5.02)","119.58 (105.26, 133.75)"
"Hib","2.10 (1.80, 2.42)","140.21 (121.36, 161.38)"
"JE","0.18 (0.12, 0.26)","72.30 (38.25, 108.31)"
"Malaria","2.72 (-4.59, 9.01)","213.66 (-244.68, 622.45)"
"Measles","5.89 (5.30, 6.46)","394.58 (357.68, 430.90)"
"Meningitis","0.66 (0.61, 0.71)","44.29 (40.95, 47.36)"
"PCV","1.32 (0.60, 2.01)","90.05 (46.82, 132.20)"
"Rota","0.91 (0.39, 1.36)","49.21 (21.35, 73.63)"
"Rubella","0.21 (0.15, 0.27)","16.52 (12.32, 21.27)"
"Typhoid","1.08 (0.63, 1.81)","38.27 (21.52, 68.63)"
"YF","3.00 (1.87, 4.40)","115.03 (69.86, 169.83)"
