scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,AFG,Afghanistan,2027,1,15,default age and gender,16673873,0.7770688200995652383796,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,AGO,Angola,2025,1,15,default age and gender,15630614,0.7479185799514974641866,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,ALB,Albania,2028,1,15,default age and gender,431280.5,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,ARM,Armenia,2027,1,15,default age and gender,587225,0.8865539716463024522142,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,AZE,Azerbaijan,2029,1,15,default age and gender,2064198,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,BDI,Burundi,2026,1,15,default age and gender,5772361,0.9549721060411847650684,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,BEN,Benin,2026,1,15,default age and gender,5387291,0.7819572988167893257128,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,BFA,Burkina Faso,2025,1,15,default age and gender,9444576,0.9304311526107686969311,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,BGD,Bangladesh,2025,1,15,default age and gender,43987758,0.981580341557758084825,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,BLZ,Belize,2029,1,15,default age and gender,110842.5,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,BOL,"Bolivia, Plurinational State of",2027,1,15,default age and gender,3540923,0.8725939783214715639303,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,BTN,Bhutan,2026,1,15,default age and gender,162452.5,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,CAF,Central African Republic,2025,1,15,default age and gender,2105276,0.5217262285325059423258,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,CIV,Cote d'Ivoire,2026,1,15,default age and gender,12123207,0.9672075750005753036476,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,CMR,Cameroon,2025,1,15,default age and gender,11339475,0.7899595674799759770224,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,COD,"Congo, the Democratic Republic of the",2025,1,15,default age and gender,43039389,0.4884567956157556678498,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,COD,"Congo, the Democratic Republic of the",2026,1,15,default age and gender,44080261,0.4769228121448736978927,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,COG,Congo,2026,1,15,default age and gender,2387975,0.8777384252347699700181,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,CPV,Cabo Verde,2026,1,15,default age and gender,151541,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,DJI,Djibouti,2026,1,15,default age and gender,290108,0.8442954668606172941026,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,ERI,Eritrea,2026,1,15,default age and gender,1457135.5,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,ETH,Ethiopia,2025,1,15,default age and gender,45810101,0.4619017336613163715597,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,ETH,Ethiopia,2026,1,15,default age and gender,46547564,0.4545837258229023514211,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,FJI,Fiji,2023,1,65,9m-65y,135000,0.8000000000000000444089,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,FSM,"Micronesia, Federated States of",2025,1,15,default age and gender,35854,0.7679738104535057674482,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,GEO,Georgia,2028,1,15,default age and gender,760928,0.9034880872434709608854,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,GHA,Ghana,2025,1,15,default age and gender,11854573,0.9987248637719806643176,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,GMB,Gambia,2025,1,15,default age and gender,1085282,0.9122474218682333768626,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,GNB,Guinea-Bissau,2027,1,15,default age and gender,877063,0.6865417355423726331054,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,GTM,Guatemala,2027,1,15,default age and gender,6163571,0.891812305366483148994,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,GUY,Guyana,2027,1,15,default age and gender,215386,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,HND,Honduras,2027,1,15,default age and gender,3026987,0.9629695648841568589305,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,HTI,Haiti,2029,1,15,default age and gender,3666682,0.7626725861691850960611,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,IDN,Indonesia,2026,1,15,default age and gender,70835778,0.464719483143814837689,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,IDN,Indonesia,2027,1,15,default age and gender,70641883,0.4659950264951176479578,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,IND,India,2025,1,15,default age and gender,355652772,0.4651601939939329910523,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,IND,India,2026,1,15,default age and gender,353161704,0.4684412566374977493489,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,KEN,Kenya,2025,1,15,default age and gender,20738213,0.7171464060186866218416,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,KHM,Cambodia,2026,1,15,default age and gender,4787926,1,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,KIR,Kiribati,2026,1,15,default age and gender,43958,0.8515094135310981027231,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,LAO,Lao People's Democratic Republic,2025,1,15,default age and gender,2327430,0.8219389822250293686778,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,LBR,Liberia,2021,0,14,0.75-14,1901130,0.6300000000000000044409,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,LKA,Sri Lanka,2026,1,15,default age and gender,4817341,0.9476897046316631323393,both,1
typhoid-campaign-routine-default,"Typhoid:Typhoid,campaign,with:default",Typhoid,total,campaign,MAR,Morocco,2027,1,15,default age and gender,9789727,1,both,1
